total_count,subfield_name,field_name,keep
178739,Economics and Econometrics,"Economics, Econometrics and Finance",1
117801,Sociology and Political Science,Social Sciences,
79167,Accounting,"Business, Management and Accounting",1
76611,"General Economics, Econometrics and Finance","Economics, Econometrics and Finance",1
55054,Organizational Behavior and Human Resource Management,"Business, Management and Accounting",1
48734,Strategy and Management,"Business, Management and Accounting",1
46504,Political Science and International Relations,Social Sciences,
46423,Transportation,Social Sciences,1
45270,Management Information Systems,"Business, Management and Accounting",1
43829,Finance,"Economics, Econometrics and Finance",1
39228,Marketing,"Business, Management and Accounting",1
37834,Public Administration,Social Sciences,
29755,Statistics and Probability,Mathematics,
27688,Management Science and Operations Research,Decision Sciences,1
27063,Management of Technology and Innovation,"Business, Management and Accounting",1
22888,Information Systems and Management,Decision Sciences,1
19057,Industrial and Manufacturing Engineering,Engineering,
15149,"Safety, Risk, Reliability and Quality",Engineering,
14914,Social Psychology,Psychology,
14736,Control and Systems Engineering,Engineering,
14323,Safety Research,Social Sciences,
13421,General Agricultural and Biological Sciences,Agricultural and Biological Sciences,
11995,Communication,Social Sciences,
11544,Education,Social Sciences,
11024,"Statistics, Probability and Uncertainty",Decision Sciences,
10474,Computational Theory and Mathematics,Computer Science,
10077,Numerical Analysis,Mathematics,
10036,General Health Professions,Health Professions,
9446,Gender Studies,Social Sciences,
8410,"Management, Monitoring, Policy and Law",Environmental Science,
8063,Radiological and Ultrasound Technology,Health Professions,
7668,Demography,Social Sciences,
7254,Urban Studies,Social Sciences,
6764,Development,Social Sciences,
5992,Clinical Psychology,Psychology,
5519,Cognitive Neuroscience,Neuroscience,
5299,Anthropology,Social Sciences,
5284,"Renewable Energy, Sustainability and the Environment",Energy,
5168,Developmental and Educational Psychology,Psychology,
4879,Information Systems,Computer Science,
4813,General Psychology,Psychology,
4353,General Decision Sciences,Decision Sciences,1
4297,Global and Planetary Change,Environmental Science,
4293,Health,Social Sciences,
4131,Artificial Intelligence,Computer Science,
3670,Applied Psychology,Psychology,
3256,Media Technology,Engineering,
3189,Computational Mechanics,Engineering,
3156,"Health, Toxicology and Mutagenesis",Environmental Science,
2918,History and Philosophy of Science,Arts and Humanities,
2742,Plant Science,Agricultural and Biological Sciences,
2683,Food Science,Agricultural and Biological Sciences,
2575,Computer Networks and Communications,Computer Science,
2530,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",
2439,Pharmacology,Medicine,
2261,"Tourism, Leisure and Hospitality Management","Business, Management and Accounting",1
2214,Mathematical Physics,Mathematics,
2146,Law,Social Sciences,
2116,"Geography, Planning and Development",Social Sciences,
1954,Pulmonary and Respiratory Medicine,Medicine,
1751,Ocean Engineering,Engineering,
1732,Electrical and Electronic Engineering,Engineering,
1664,Signal Processing,Computer Science,
1636,Automotive Engineering,Engineering,
1634,Environmental Engineering,Environmental Science,
1358,Literature and Literary Theory,Arts and Humanities,
996,Chemical Health and Safety,Chemical Engineering,
979,Museology,Arts and Humanities,
885,Research and Theory,Nursing,
776,Human-Computer Interaction,Computer Science,
743,Occupational Therapy,Health Professions,
733,Emergency Medical Services,Health Professions,
732,Hardware and Architecture,Computer Science,
720,Cultural Studies,Social Sciences,
625,Library and Information Sciences,Social Sciences,
577,Civil and Structural Engineering,Engineering,
551,Speech and Hearing,Health Professions,
390,Experimental and Cognitive Psychology,Psychology,
384,Mechanics of Materials,Engineering,
367,General Energy,Energy,
351,Philosophy,Arts and Humanities,
330,Industrial and Manufacturing Engineering,Environmental Science,
299,Human Factors and Ergonomics,Social Sciences,
291,Business and International Management,"Business, Management and Accounting",1
249,Soil Science,Agricultural and Biological Sciences,
246,Mechanical Engineering,Engineering,
224,Health Information Management,Health Professions,1
222,Conservation,Arts and Humanities,
214,Aerospace Engineering,Engineering,
208,Modeling and Simulation,Mathematics,
181,Building and Construction,Engineering,
176,History,Arts and Humanities,
172,Pollution,Environmental Science,
154,Geology,Earth and Planetary Sciences,
141,Software,Computer Science,
127,"Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences,
124,Pharmacology,"Pharmacology, Toxicology and Pharmaceutics",
108,Genetics,"Biochemistry, Genetics and Molecular Biology",
102,Language and Linguistics,Arts and Humanities,
79,"Public Health, Environmental and Occupational Health",Medicine,
78,General Dentistry,Dentistry,
68,Astronomy and Astrophysics,Physics and Astronomy,
39,"Issues, ethics and legal aspects",Nursing,
39,Polymers and Plastics,Materials Science,
37,Agronomy and Crop Science,Agricultural and Biological Sciences,
12,Archeology,Arts and Humanities,
8,Biomedical Engineering,Engineering,
2,Atmospheric Science,Earth and Planetary Sciences,
1,"Atomic and Molecular Physics, and Optics",Physics and Astronomy,
