subfield_idx,for_group_code,for_group_label,for_division_code,for_division_label,confidence,match_method
1100,3002,"Agriculture, land and farm management",30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",0.163,constrained_lexical
1102,3004,Crop and pasture production,30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",0.188,constrained_lexical
1103,3109,Zoology,31,BIOLOGICAL SCIENCES,1.0,exact_match
1104,3005,Fisheries sciences,30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",0.7,manual_override
1105,3103,Ecology,31,BIOLOGICAL SCIENCES,1.0,exact_match
1106,3006,Food sciences,30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",1.0,exact_match
1107,3007,Forestry sciences,30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",1.0,exact_match
1108,3008,Horticultural production,30,"AGRICULTURAL, VETERINARY AND FOOD SCIENCES",0.7,manual_override
1109,3109,Zoology,31,BIOLOGICAL SCIENCES,0.7,manual_override
1110,3108,Plant biology,31,BIOLOGICAL SCIENCES,1.0,exact_match
1111,4106,Soil sciences,41,ENVIRONMENTAL SCIENCES,1.0,exact_match
1200,4705,Literary studies,47,"LANGUAGE, COMMUNICATION AND CULTURE",0.333,constrained_lexical
1202,4303,Historical studies,43,"HISTORY, HERITAGE AND ARCHAEOLOGY",0.7,manual_override
1203,4704,Linguistics,47,"LANGUAGE, COMMUNICATION AND CULTURE",0.179,constrained_lexical
1204,4301,Archaeology,43,"HISTORY, HERITAGE AND ARCHAEOLOGY",0.7,manual_override
1205,4705,Literary studies,47,"LANGUAGE, COMMUNICATION AND CULTURE",0.455,constrained_lexical
1206,4102,Ecological applications,41,ENVIRONMENTAL SCIENCES,0.7,manual_override
1207,5002,History and philosophy of specific fields,50,PHILOSOPHY AND RELIGIOUS STUDIES,0.7,manual_override
1208,4705,Literary studies,47,"LANGUAGE, COMMUNICATION AND CULTURE",1.0,exact_match
1209,4302,"Heritage, archive and museum studies",43,"HISTORY, HERITAGE AND ARCHAEOLOGY",0.7,manual_override
1210,3603,Music,36,CREATIVE ARTS AND WRITING,1.0,exact_match
1211,5003,Philosophy,50,PHILOSOPHY AND RELIGIOUS STUDIES,1.0,exact_match
1212,5004,Religious studies,50,PHILOSOPHY AND RELIGIOUS STUDIES,1.0,exact_match
1213,3606,Visual arts,36,CREATIVE ARTS AND WRITING,0.7,manual_override
1302,3101,Biochemistry and cell biology,31,BIOLOGICAL SCIENCES,0.7,manual_override
1303,3101,Biochemistry and cell biology,31,BIOLOGICAL SCIENCES,0.136,constrained_lexical
1304,3102,Bioinformatics and computational biology,31,BIOLOGICAL SCIENCES,0.1,constrained_lexical
1305,3101,Biochemistry and cell biology,31,BIOLOGICAL SCIENCES,0.087,constrained_lexical
1306,3102,Bioinformatics and computational biology,31,BIOLOGICAL SCIENCES,0.086,constrained_lexical
1307,3101,Biochemistry and cell biology,31,BIOLOGICAL SCIENCES,0.7,manual_override
1308,3202,Clinical sciences,32,BIOMEDICAL AND CLINICAL SCIENCES,1.0,exact_match
1309,3109,Zoology,31,BIOLOGICAL SCIENCES,0.25,constrained_lexical
1310,3205,Medical biochemistry and metabolomics,32,BIOMEDICAL AND CLINICAL SCIENCES,0.7,manual_override
1311,3105,Genetics,31,BIOLOGICAL SCIENCES,1.0,exact_match
1312,3101,Biochemistry and cell biology,31,BIOLOGICAL SCIENCES,0.05,constrained_lexical
1313,3101,Biochemistry and cell biology,31,BIOLOGICAL SCIENCES,0.7,manual_override
1314,3208,Medical physiology,32,BIOMEDICAL AND CLINICAL SCIENCES,1.0,exact_match
1315,3101,Biochemistry and cell biology,31,BIOLOGICAL SCIENCES,0.7,manual_override
1402,3501,"Accounting, auditing and accountability",35,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",1.0,exact_match
1403,3506,Marketing,35,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",0.4,constrained_lexical
1404,4609,Information systems,46,INFORMATION AND COMPUTING SCIENCES,1.0,exact_match
1405,4609,Information systems,46,INFORMATION AND COMPUTING SCIENCES,0.196,constrained_lexical
1406,3506,Marketing,35,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",1.0,exact_match
1407,3507,"Strategy, management and organisational behaviour",35,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",0.209,constrained_lexical
1408,3507,"Strategy, management and organisational behaviour",35,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",1.0,exact_match
1409,3508,Tourism,35,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",1.0,exact_match
1410,3505,Human resources and industrial relations,35,"COMMERCE, MANAGEMENT, TOURISM AND SERVICES",1.0,exact_match
1502,4003,Biomedical engineering,40,ENGINEERING,0.7,manual_override
1503,4004,Chemical engineering,40,ENGINEERING,0.7,manual_override
1504,4005,Civil engineering,40,ENGINEERING,0.5,constrained_lexical
1506,4004,Chemical engineering,40,ENGINEERING,0.7,manual_override
1507,4004,Chemical engineering,40,ENGINEERING,0.25,constrained_lexical
1508,4004,Chemical engineering,40,ENGINEERING,0.375,constrained_lexical
1602,3401,Analytical chemistry,34,CHEMICAL SCIENCES,1.0,exact_match
1603,3406,Physical chemistry,34,CHEMICAL SCIENCES,0.7,manual_override
1604,3402,Inorganic chemistry,34,CHEMICAL SCIENCES,1.0,exact_match
1605,3405,Organic chemistry,34,CHEMICAL SCIENCES,1.0,exact_match
1606,3406,Physical chemistry,34,CHEMICAL SCIENCES,1.0,exact_match
1607,3406,Physical chemistry,34,CHEMICAL SCIENCES,0.188,constrained_lexical
1702,4602,Artificial intelligence,46,INFORMATION AND COMPUTING SCIENCES,1.0,exact_match
1703,4613,Theory of computation,46,INFORMATION AND COMPUTING SCIENCES,0.217,constrained_lexical
1704,3303,Design,33,BUILT ENVIRONMENT AND DESIGN,1.0,exact_match
