Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA,JIF Rank,5 Year JIF,5 Year JIF Quartile,JIF Without Self Cites,Immediacy Index,JCI Rank,JCI Quartile,JCI Percentile,Eigenfactor,Normalized Eigenfactor,Article Influence Score,JIF Percentile,AIS Quartile,AIS Rank,Citable Items,% of Articles in Citable items,Cited Half-Life,Citing Half-Life,Total Articles
AMERICAN ECONOMIC REVIEW,AM ECON REV,AMER ECONOMIC ASSOC,2227-9032,1944-7981,ECONOMICS,SSCI,74985,11.6,Q1,3.27,0.00%,4/617,16.6,Q1,11.4,2.5,5/617,Q1,99.27,0.08957,19.93081,20.098,99.4,Q1,3/575,111,100.00%,16.1,9.7,111
Energy Policy,ENERG POLICY,ELSEVIER SCI LTD,0301-4215,1873-6777,ECONOMICS,SSCI,68208,9.2,Q1,2.09,34.76%,10/617,8.8,Q1,8.8,1.8,23/617,Q1,96.35,0.04191,9.32669,1.732,98.5,Q1,80/575,406,99.51%,7.4,5.2,404
JOURNAL OF FINANCIAL ECONOMICS,J FINANC ECON,ELSEVIER SCIENCE SA,1999-4907,,ECONOMICS,SSCI,54554,12,Q1,3.17,21.72%,3/617,13.7,Q1,11.7,1.3,6/617,Q1,99.11,0.06292,14.00001,10.003,99.6,Q1,12/575,118,100.00%,13.4,9.5,118
Energy Economics,ENERG ECON,ELSEVIER,1478-4491,1873-6181,ECONOMICS,SSCI,53243,14.2,Q1,4.59,22.75%,1/617,13.2,Q1,12.3,2.6,2/617,Q1,99.76,0.04641,10.32656,2.28,99.9,Q1,53/575,747,100.00%,3.8,5,747
JOURNAL OF FINANCE,J FINANC,WILEY,1471-2288,1540-6261,ECONOMICS,SSCI,50071,9.5,Q1,2.7,30.25%,9/617,10.3,Q1,9.2,2.2,10/617,Q1,98.46,0.04027,8.96015,13.446,98.6,Q1,6/575,92,100.00%,19.9,10.6,92
ECONOMETRICA,ECONOMETRICA,WILEY,2227-9032,1468-0262,ECONOMICS,SSCI,43246,7.1,Q1,2.73,0.46%,17/617,8.3,Q1,7,1.2,9/617,Q1,98.62,0.04301,9.57023,14.064,97.3,Q1,5/575,55,100.00%,33.5,10.5,55
QUARTERLY JOURNAL OF ECONOMICS,Q J ECON,OXFORD UNIV PRESS INC,1477-7525,1531-4650,ECONOMICS,SSCI,40723,12.7,Q1,4.49,25.53%,2/617,20.9,Q1,12.4,3.9,3/617,Q1,99.59,0.05575,12.4044,28.678,99.8,Q1,1/575,41,100.00%,19.7,8.4,41
ECOLOGICAL ECONOMICS,ECOL ECON,ELSEVIER,0921-8009,1873-6106,ECONOMICS,SSCI,35499,6.3,Q1,1.56,46.84%,30/617,7.3,Q1,6,1.3,59/617,Q1,90.52,0.01907,4.24466,1.616,95.2,Q1,88/575,299,99.00%,9.3,7.5,296
JOURNAL OF POLITICAL ECONOMY,J POLIT ECON,UNIV CHICAGO PRESS,0022-3808,1537-534X,ECONOMICS,SSCI,32443,6.3,Q1,2.06,5.71%,30/617,11,Q1,6.1,2.2,25/617,Q1,96.03,0.04654,10.35733,14.126,95.2,Q1,4/575,93,100.00%,28.7,11.2,93
WORLD DEVELOPMENT,WORLD DEV,PERGAMON-ELSEVIER SCIENCE LTD,0305-750X,1873-5991,ECONOMICS,SSCI,31381,4.8,Q1,1.74,44.60%,52/617,6.7,Q1,4.5,0.8,43/617,Q1,93.11,0.02446,5.44442,1.911,91.7,Q1,72/575,289,97.58%,7.9,8.4,282
Journal of Econometrics,J ECONOMETRICS,ELSEVIER SCIENCE SA,2073-445X,1872-6895,ECONOMICS,SSCI,30272,4,Q1,2.49,22.26%,73/617,7.8,Q1,3.7,1.2,13/617,Q1,97.97,0.04397,9.78439,6.232,88.2,Q1,18/575,179,100.00%,16.9,13.1,179
REVIEW OF FINANCIAL STUDIES,REV FINANC STUD,OXFORD UNIV PRESS INC,1542-4278,1465-7368,ECONOMICS,SSCI,29654,5.4,Q1,2.03,21.00%,45/617,10.8,Q1,5.2,1.8,26/617,Q1,95.87,0.05442,12.10875,9.981,92.8,Q1,13/575,90,100.00%,11.3,9.7,90
