skip,tc0,tc1,tt0,tt1,tau_u,tau_s,rho,omega,m,chi,alpha,mu_type,label,epsilon,beta,bloc
0,2020,2024,2020,2024,10,10,0,0,0110,0.5,1.0,,baseline,0,0,
1,2020,2024,2020,2024,10,10,0,0,1000,0.5,1.0,,SS-only,0,0,
1,2020,2024,2020,2024,10,10,0,0,0001,0.5,1.0,,II-only,0,0,
1,2020,2024,2020,2024,10,10,0,0,1111,0.5,1.0,,full-joint,0,0,
1,2020,2024,2020,2024,10,10,0,0,1111,-1.0,1.0,,full-joint-chistar,0,0,
1,2020,2024,2020,2024,10,10,1,0,0110,0.5,1.0,,rho1,0,0,
1,2020,2024,2020,2024,20,20,0,0,0110,0.5,1.0,,tau20,0,0,
1,2020,2024,2020,2024,40,40,0,0,0110,0.5,1.0,,tau40,0,0,
1,2020,2024,2020,2024,10,10,0,0,0110,0.5,0.85,uniform,alpha85-uniform,0,0,
1,2020,2024,2020,2024,10,10,0,0,0110,0.5,0.85,unit_scaled,alpha85-unitscaled,0,0,
1,2024,2024,2020,2024,10,10,0,0,0110,0.5,1.0,,census1yr,0,0,
1,2000,2004,2000,2004,10,10,0,0,0110,0.5,1.0,,t1,0,0,
1,2005,2009,2005,2009,10,10,0,0,0110,0.5,1.0,,t2,0,0,
1,2010,2014,2010,2014,10,10,0,0,0110,0.5,1.0,,t3,0,0,
1,2015,2019,2015,2019,10,10,0,0,0110,0.5,1.0,,t4,0,0,
1,2020,2024,2020,2024,10,10,0,0,0110,0.5,1.0,,baseline-eps,1,0,
1,2020,2024,2020,2024,10,10,0,0,0110,0.5,1.0,,baseline-direct,0,0,
1,2020,2024,2020,2024,10,10,0,0,0110,0.5,1.0,,baseline-nobeta,0,1,
